title,ingredients,directions,link,source,NER,site,caloriesPer100g,proteinsPer100g,carbsPer100g,fatPer100g
Watermelon Rind Pickles,"[""7 lb. watermelon rind"", ""7 c. sugar"", ""2 c. apple vinegar"", ""1/2 tsp. oil of cloves"", ""1/2 tsp. oil of cinnamon""]","[""Trim off green and pink parts of watermelon rind; cut to 1-inch cubes."", ""Parboil until tender, but not soft."", ""Drain. Combine sugar, vinegar, oil of cloves and oil of cinnamon; bring to boiling and pour over rind."", ""Let stand overnight."", ""In the morning, drain off syrup."", ""Heat and put over rind."", ""The third morning, heat rind and syrup; seal in hot, sterilized jars."", ""Makes 8 pints."", ""(Oil of cinnamon and clove keeps rind clear and transparent.)""]",www.cookbooks.com/Recipe-Details.aspx?id=744685,Gathered,"[""oil"", ""sugar"", ""oil of cinnamon"", ""apple vinegar"", ""watermelon rind""]",www.cookbooks.com,312,10.4,36.7,8.9
Chicken Stew,"[""3 lb. chicken, boiled"", ""4 medium potatoes, diced"", ""2 medium onions, chopped"", ""1 (16 oz.) can creamed corn"", ""1 (16 oz.) can English peas"", ""1 (16 oz.) can field peas"", ""1 (16 oz.) can butter beans"", ""1 (16 oz.) can tomatoes"", ""1 (46 oz.) can tomato juice"", ""1 small box macaroni"", ""1 Tbsp. black pepper"", ""1 Tbsp. salt"", ""1 Tbsp. sugar""]","[""Remove chicken from bone."", ""Use the broth."", ""Mix the vegetables and macaroni."", ""Add sugar, salt and black pepper."", ""Cook until all vegetables are tender over medium heat.""]",www.cookbooks.com/Recipe-Details.aspx?id=284237,Gathered,"[""potatoes"", ""peas"", ""corn"", ""sugar"", ""tomatoes"", ""macaroni"", ""black pepper"", ""butter beans"", ""english peas"", ""onions"", ""tomato juice"", ""chicken"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Quick Coffee Cake(6 Servings)  ,"[""3 Tbsp. softened butter or margarine"", ""1/2 c. granulated sugar"", ""1 egg"", ""1 c. flour"", ""1 1/4 tsp. baking powder"", ""1/4 tsp. salt"", ""1/3 c. milk"", ""1/4 tsp. vanilla"", ""1/3 c. brown sugar, packed"", ""1/2 tsp. cinnamon"", ""2 Tbsp. butter or margarine""]","[""Mix 3 tablespoons fat with granulated sugar."", ""Add egg and beat until creamy."", ""Mix flour, baking powder and salt thoroughly."", ""Add to sugar mixture alternately with milk."", ""Add vanilla. Spread batter evenly in a greased 8-inch square baking pan."", ""Mix brown sugar and cinnamon and sprinkle over batter."", ""Dot with 2 tablespoons fat."", ""Bake at 350\u00b0 (moderate oven) for 25 to 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=532166,Gathered,"[""egg"", ""baking powder"", ""sugar"", ""vanilla"", ""brown sugar"", ""cinnamon"", ""flour"", ""milk"", ""butter"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Angel Biscuits,"[""5 c. flour"", ""3 Tbsp. sugar"", ""4 tsp. baking powder"", ""1 1/2 pkg. dry yeast"", ""2 c. buttermilk"", ""1 tsp. soda"", ""1 1/2 sticks margarine"", ""1/2 c. warm water""]","[""Mix flour, sugar, baking powder, soda and salt together."", ""Cut in margarine, dissolve yeast in warm water."", ""Stir into buttermilk and add to dry mixture."", ""Cover and chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=378696,Gathered,"[""buttermilk"", ""baking powder"", ""sugar"", ""warm water"", ""soda"", ""flour"", ""margarine"", ""yeast""]",www.cookbooks.com,312,10.4,36.7,8.9
Quick Peppermint Puffs,"[""8 marshmallows"", ""2 Tbsp. margarine, melted"", ""1/4 c. crushed peppermint candy"", ""1 can crescent rolls""]","[""Dip marshmallows in melted margarine; roll in candy. Wrap a crescent triangle around each marshmallow, completely covering the marshmallow and square edges of dough tightly to seal."", ""Dip in margarine and place in a greased muffin tin."", ""Bake at 375\u00b0 for 10 to 15 minutes; remove from pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=493487,Gathered,"[""peppermint candy"", ""margarine"", ""crescent rolls"", ""marshmallows""]",www.cookbooks.com,312,10.4,36.7,8.9
Fruit Pizza,"[""1 box yellow cake mix"", ""1/4 c. water"", ""1/4 c. brown sugar"", ""1/2 c. soft butter"", ""2 eggs"", ""1/2 c. chopped nuts""]","[""Mix ingredients and spread into 2 greased pizza pans."", ""Bake at 350\u00b0 for 15-20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=28243,Gathered,"[""brown sugar"", ""eggs"", ""water"", ""nuts"", ""yellow cake mix"", ""butter""]",www.cookbooks.com,312,10.4,36.7,8.9
Chocolate Mint Bars,"[""1 c. flour"", ""1 c. sugar"", ""1/2 c. oleo, softened"", ""4 eggs"", ""1 can chocolate syrup""]","[""Mix together and bake in 9 x 13-inch pan at 350\u00b0 for 25 to 30 minutes."", ""Top should spring back when touched lightly; do not overbake."", ""Cool completely, then spread with mint layer.""]",www.cookbooks.com/Recipe-Details.aspx?id=590883,Gathered,"[""oleo"", ""sugar"", ""chocolate syrup"", ""eggs"", ""flour""]",www.cookbooks.com,312,10.4,36.7,8.9
Beer Bread,"[""3 c. self rising flour"", ""1 - 12 oz. can beer"", ""1 Tbsp. sugar""]","[""Stir the ingredients together and put in a greased and floured loaf pan."", ""Bake at 425 degrees for 50 minutes."", ""Drizzle melted butter on top.""]",www.cookbooks.com/Recipe-Details.aspx?id=26648,Gathered,"[""flour"", ""sugar"", ""beer""]",www.cookbooks.com,312,10.4,36.7,8.9
Chicken Divan,"[""1/4 c. margarine"", ""1/4 c. chopped onion (or as much as you want)"", ""chopped celery to taste"", ""1/4 c. flour"", ""1/8 tsp. curry powder"", ""1 can sliced mushrooms (save juice)"", ""1 can cream of celery soup"", ""1 pkg. chopped broccoli"", ""1 cubed chicken"", ""shredded Monterey Jack cheese""]","[""Melt margarine in skillet; saute onions and celery."", ""Remove from heat."", ""Stir in flour and curry powder."", ""Drain mushrooms and keep juice."", ""Add water to juice to make 1/2 cup liquid."", ""Stir liquid and soup into flour mixture; add mushrooms."", ""Cook until thick."", ""Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken."", ""Top with grated cheese."", ""Bake in a 350\u00b0 oven for about 20 minutes or in microwave until cheese is melted.""]",www.cookbooks.com/Recipe-Details.aspx?id=425137,Gathered,"[""curry powder"", ""onion"", ""mushrooms"", ""celery"", ""flour"", ""margarine"", ""cream of celery soup"", ""broccoli"", ""cheese"", ""chicken""]",www.cookbooks.com,312,10.4,36.7,8.9
Mexican Cookie Rings,"[""1 1/2 c. sifted flour"", ""1/2 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. butter"", ""2/3 c. sugar"", ""3 egg yolks"", ""1 tsp. vanilla"", ""multi-colored candies""]","[""Sift flour, baking powder and salt together."", ""Cream together butter and sugar."", ""Add egg yolks and vanilla."", ""Beat until light and fluffy."", ""Mix in sifted dry ingredients."", ""Shape into 1-inch balls."", ""Push wooden spoon handle through center (twist)."", ""Shape into rings."", ""Dip each cookie into candies."", ""Place on lightly greased baking sheets."", ""Bake in 375\u00b0 oven for 10 to 12 minutes or until golden brown."", ""Cool on racks."", ""Serves 2 dozen.""]",www.cookbooks.com/Recipe-Details.aspx?id=364136,Gathered,"[""egg yolks"", ""sugar"", ""baking powder"", ""vanilla"", ""flour"", ""multi-colored candies"", ""butter"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Vegetable-Burger Soup,"[""1/2 lb. ground beef"", ""2 c. water"", ""1 tsp. sugar"", ""1 pkg. Cup-a-Soup onion soup mix (dry)"", ""1 lb. can stewed tomatoes"", ""1 (8 oz.) can tomato sauce"", ""1 (10 oz.) pkg. frozen mixed vegetables""]","[""Lightly brown beef in soup pot."", ""Drain off excess fat."", ""Stir in tomatoes, tomato sauce, water, frozen vegetables, soup mix and sugar."", ""Bring to a boil."", ""Reduce heat and simmer for 20 minutes. Serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=822015,Gathered,"[""frozen mixed vegetables"", ""sugar"", ""tomatoes"", ""onion soup"", ""water"", ""ground beef"", ""tomato sauce""]",www.cookbooks.com,312,10.4,36.7,8.9
Chicken Ole,"[""4 chicken breasts, cooked"", ""1 can cream of chicken soup"", ""1 can cream of mushroom soup"", ""1 can green chili salsa sauce"", ""1 can green chilies"", ""1 c. milk"", ""1 grated onion"", ""1 pkg. corn tortilla in pieces""]","[""Dice chicken."", ""Mix all ingredients together."", ""Let sit overnight."", ""Bake 1 1/2 hours at 375\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=445786,Gathered,"[""green chilies"", ""cream of chicken soup"", ""green chili salsa sauce"", ""chicken breasts"", ""cream of mushroom soup"", ""onion"", ""corn tortilla"", ""milk""]",www.cookbooks.com,312,10.4,36.7,8.9
Creamy Coleslaw(Better Homes And Gardens)  ,"[""4 c. shredded cabbage"", ""1/2 c. shredded carrots"", ""1/4 c. finely chopped green pepper"", ""2 Tbsp. finely chopped onion"", ""1/2 c. mayonnaise"", ""1 Tbsp. vinegar"", ""2 tsp. sugar"", ""1 tsp. celery seed"", ""1/4 tsp. salt""]","[""In a large bowl, combine cabbage, carrot, green pepper and onion or can use package of slaw mix purchased from store.""]",www.cookbooks.com/Recipe-Details.aspx?id=613188,Gathered,"[""cabbage"", ""vinegar"", ""sugar"", ""onion"", ""celery"", ""mayonnaise"", ""carrots"", ""green pepper"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Creole Flounder,"[""2 lb. flounder or pollack fillets"", ""1 1/2 c. chopped tomatoes"", ""1/2 c. chopped green pepper"", ""1/3 c. lemon juice"", ""1 Tbsp. salad oil"", ""2 tsp. salt"", ""2 tsp. minced onion"", ""1 tsp. basil leaves"", ""1/4 tsp. coarsely ground black pepper"", ""4 drops red pepper sauce"", ""green pepper rings""]","[""Heat oven to 500\u00b0."", ""Place fillets in single layer in baking dish, 13 1/2 x 9 x 2-inch."", ""Stir together remaining ingredients except pepper rings. Spoon over fillets."", ""Bake 5 to 8 minutes or until fish flakes easily with fork."", ""Remove fillets to warm platter. Garnish with green pepper rings. Makes 4 to 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=580768,Gathered,"[""tomatoes"", ""lemon juice"", ""salad oil"", ""onion"", ""drops red pepper sauce"", ""basil"", ""ground black pepper"", ""flounder"", ""green pepper"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Three Bean Salad,"[""1 can green beans, wash and drain"", ""1 can yellow beans, wash and drain"", ""1 can kidney beans, wash and drain"", ""1 c. sugar"", ""1/2 c. salad oil"", ""2/3 c. vinegar"", ""1/3 c. water""]","[""Mix together all of sugar, salad oil, vinegar and water until sugar is dissolved."", ""Pour over beans and let stand overnight.""]",www.cookbooks.com/Recipe-Details.aspx?id=272785,Gathered,"[""kidney beans"", ""vinegar"", ""sugar"", ""salad oil"", ""water"", ""green beans"", ""yellow beans""]",www.cookbooks.com,312,10.4,36.7,8.9
Dave'S Corn Casserole,"[""1 (16 1/2 oz.) can whole kernel corn, drained"", ""1 (16 1/2 oz.) can cream-style corn"", ""1 (8 oz.) sour cream"", ""1 (8 1/2 oz.) pkg. Jiffy corn bread mix"", ""1 stick margarine""]","[""In a bowl, mix corns, sour cream, corn bread mix and melted margarine."", ""Pour into a greased 8 x 8 x 2-inch pan."", ""Bake at 350\u00b0 for 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=864413,Gathered,"[""sour cream"", ""corn bread"", ""margarine"", ""whole kernel corn"", ""cream-style""]",www.cookbooks.com,312,10.4,36.7,8.9
Casserole Italiano,"[""1 lb. ground beef"", ""1/3 c. chopped onion"", ""1 can tomato soup"", ""2 c. cooked wide noodles"", ""1/2 tsp. oregano"", ""1/2 tsp. salt"", ""1/3 c. water"", ""1 c. cheese""]","[""Brown beef with onion and seasonings and combine in a 1 1/2-quart casserole with soup, water and noodles."", ""Place cheese around edges."", ""Bake at 350\u00b0 for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=233784,Gathered,"[""oregano"", ""noodles"", ""onion"", ""tomato soup"", ""water"", ""cheese"", ""ground beef"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Corned Beef And Cabbage Casserole,"[""1 small cabbage, shredded"", ""1 tsp. dry mustard"", ""1 can corned beef, flaked"", ""1 can cream of celery soup"", ""1 medium chopped onion""]","[""Combine all ingredients and cook uncovered over low heat until cabbage is crisp-tender, about 20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=263782,Gathered,"[""cabbage"", ""onion"", ""cream of celery soup"", ""corned beef"", ""dry mustard""]",www.cookbooks.com,312,10.4,36.7,8.9
Crab Cakes,"[""1 Tbsp. Worcestershire sauce"", ""2 or 3 shakes Old Bay"", ""1 tsp. dry mustard"", ""2 Tbsp. mayonnaise"", ""1 egg""]","[""Mix together and carefully add 1 pound lump crab meat."", ""Mix ahead of time and refrigerate so they will hold together better.""]",www.cookbooks.com/Recipe-Details.aspx?id=69515,Gathered,"[""dry mustard"", ""egg"", ""mayonnaise"", ""worcestershire sauce""]",www.cookbooks.com,312,10.4,36.7,8.9
Taco Dip,"[""2 (8 oz.) pkg. cream cheese, softened"", ""1/2 c. mayonnaise or salad dressing"", ""8 oz. mild taco sauce"", ""2 to 4 thinly sliced green onions"", ""1/2 green pepper, chopped"", ""1 tomato, chopped"", ""1 c. Mozzarella cheese"", ""1 c. Cheddar cheese"", ""1/2 c. black olives (optional)"", ""tortilla chips""]","[""Mix together cream cheese and mayonnaise."", ""Spread on to a large platter or two dinner plates."", ""Freeze for 15 minutes. Spread taco sauce evenly on top."", ""Layer remaining ingredients in the written order."", ""Serve with tortilla chips.""]",www.cookbooks.com/Recipe-Details.aspx?id=139440,Gathered,"[""tomato"", ""green onions"", ""mozzarella cheese"", ""cheddar cheese"", ""cream cheese"", ""taco sauce"", ""tortilla chips"", ""black olives"", ""mayonnaise"", ""green pepper""]",www.cookbooks.com,312,10.4,36.7,8.9
Bonbon Cookies,"[""1/2 lb. soft butter"", ""1/2 c. peanut butter"", ""1/2 lb. graham cracker crumbs"", ""2 c. coconut"", ""1/2 c. nut meats (optional)"", ""dash of vanilla""]","[""Cream together the butter and peanut butter."", ""Add the remaining ingredients."", ""Mix and form into balls (best to mix with your hands) and chill several hours, even a day.""]",www.cookbooks.com/Recipe-Details.aspx?id=709387,Gathered,"[""nut meats"", ""vanilla"", ""graham cracker crumbs"", ""peanut butter"", ""coconut"", ""butter""]",www.cookbooks.com,312,10.4,36.7,8.9
Forever Amber,"[""1 lb. orange sliced candy, chopped"", ""2 cans Angel Flake coconut"", ""2 c. chopped pecans"", ""2 cans condensed milk"", ""1 tsp. vanilla"", ""1 tsp. orange flavoring""]","[""Mix together."", ""Spread in a buttered pan."", ""Bake for 30 minutes at 275\u00b0."", ""While still hot, sift 1 box of powdered sugar into it. Drop by teaspoons on waxed paper."", ""Let dry."", ""If it seems set on bottom, turn over and let it continue to dry.""]",www.cookbooks.com/Recipe-Details.aspx?id=626626,Gathered,"[""condensed milk"", ""vanilla"", ""pecans"", ""angel"", ""orange flavoring"", ""orange sliced candy""]",www.cookbooks.com,312,10.4,36.7,8.9
Gooey Coffee Cake,"[""1 yellow cake mix"", ""2 eggs"", ""1 stick oleo, melted"", ""1 c. chopped nuts"", ""2 eggs"", ""8 oz. softened cream cheese"", ""1 lb. powdered sugar""]","[""Mix together cake mix, 2 eggs and melted oleo."", ""Put in greased 9 x 13-inch pan."", ""Put chopped nuts on top of mixture."", ""Mix together 2 eggs, cream cheese and powdered sugar."", ""Add on top of first mixture."", ""Bake 15 minutes at 325\u00b0, then bake 20 minutes at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=339843,Gathered,"[""oleo"", ""eggs"", ""powdered sugar"", ""cream cheese"", ""nuts"", ""yellow cake""]",www.cookbooks.com,312,10.4,36.7,8.9
Phylis' Pineapple-Banana Salad,"[""1 large can chunk pineapple"", ""4 to 5 bananas""]","[""Drain pineapple and reserve juice."", ""Cut bananas in chunks like pineapple.""]",www.cookbooks.com/Recipe-Details.aspx?id=682439,Gathered,"[""pineapple"", ""bananas""]",www.cookbooks.com,312,10.4,36.7,8.9
Chicken Casserole,"[""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 can cream of celery soup"", ""1 cut up chicken"", ""1/2 c. melted butter or margarine"", ""1 1/2 c. uncooked rice""]","[""Mix all ingredients together in baking dish."", ""Cover and bake at 350\u00b0 for 2 1/2 hours."", ""Bake the last 45 minutes, uncovered, to brown top of chicken.""]",www.cookbooks.com/Recipe-Details.aspx?id=665397,Gathered,"[""cream of chicken soup"", ""cream of mushroom soup"", ""cream of celery soup"", ""rice"", ""butter"", ""chicken""]",www.cookbooks.com,312,10.4,36.7,8.9
Pineapple Nut Pie,"[""1 (8 oz.) pkg. cream cheese"", ""1 can sweetened condensed milk"", ""1/2 c. crushed pineapple"", ""1/3 c. chopped nuts"", ""1/3 c. lemon juice""]","[""Cream the cream cheese; add the milk and beat smooth."", ""Add lemon juice, pineapple and nuts."", ""Beat well."", ""Pour into graham cracker crust and chill."", ""Slice in small servings (very rich) and top with dollop of Cool Whip.""]",www.cookbooks.com/Recipe-Details.aspx?id=512031,Gathered,"[""condensed milk"", ""lemon juice"", ""cream cheese"", ""nuts"", ""pineapple""]",www.cookbooks.com,312,10.4,36.7,8.9
Annie'S Diabetic Candy,"[""1 (8 oz.) Jell-O sugar-free vanilla or French vanilla pudding (put in dry)"", ""1 (8 oz.) Philadelphia light cream cheese"", ""2 Tbsp. butter"", ""2 Tbsp. peanut butter or more if you would like""]","[""Mix all ingredients, form in small balls and roll in chopped peanuts."", ""Keep refrigerated.""]",www.cookbooks.com/Recipe-Details.aspx?id=942266,Gathered,"[""butter"", ""peanut butter"", ""vanilla"", ""cream cheese""]",www.cookbooks.com,312,10.4,36.7,8.9
Frozen Peach Mousse,"[""4 medium peaches, peeled and chopped"", ""1 to 1 1/4 c. sugar"", ""1 1/4 c. sour cream (use light)"", ""1/4 c. lemon juice"", ""3/4 to 1 tsp. vanilla""]","[""Puree peaches in a blender."", ""Add remaining ingredients."", ""Blend and pour in container and freeze.""]",www.cookbooks.com/Recipe-Details.aspx?id=305481,Gathered,"[""sour cream"", ""sugar"", ""vanilla"", ""lemon juice"", ""peaches""]",www.cookbooks.com,312,10.4,36.7,8.9
Strawberry Pie,"[""16 oz. Cool Whip"", ""2 pkg. frozen strawberries *"", ""2 (9-inch) deep pan pie crusts"", ""1 3/4 c. sugar"", ""12 oz. cream cheese""]","[""*Can also use blueberries or cherries.""]",www.cookbooks.com/Recipe-Details.aspx?id=575611,Gathered,"[""cream cheese"", ""sugar"", ""frozen strawberries""]",www.cookbooks.com,312,10.4,36.7,8.9
Blueberry Surprise,"[""1 stick margarine"", ""1 1/2 c. graham cracker crumbs"", ""1/4 c. granulated sugar""]","[""Mix ingredients and press 2/3 mixture in bottom of square baking dish."", ""(A bowl that has the same diameter top and bottom may be used, 1 1/2 to 2-quart size.)""]",www.cookbooks.com/Recipe-Details.aspx?id=14352,Gathered,"[""graham cracker crumbs"", ""granulated sugar"", ""margarine""]",www.cookbooks.com,312,10.4,36.7,8.9
Moist Devil'S Food Cake,"[""2 c. sifted flour"", ""1 1/2 tsp. baking soda"", ""1/4 tsp. salt"", ""1/2 c. shortening"", ""1 1/2 c. sugar"", ""2 eggs, separated"", ""1/2 c. cocoa"", ""water"", ""1 tsp. vanilla"", ""1 c. milk""]","[""Sift together the flour, soda and salt; set aside."", ""Combine shortening and sugar in a bowl."", ""Beat until creamy."", ""Add egg yolks; beat well."", ""Combine cocoa, water and vanilla to make 1 cup; mix well."", ""Add to batter."", ""Add flour mixture alternately with milk."", ""Beat well after each addition; set aside."", ""Beat egg whites until stiff peaks form when beater is lifted."", ""Fold into batter. Bake in two 9-inch greased cake pans at 375\u00b0 for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=467702,Gathered,"[""sugar"", ""vanilla"", ""shortening"", ""baking soda"", ""eggs"", ""water"", ""flour"", ""cocoa"", ""milk"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Dot'S Civil War Cake,"[""3 medium apples, chopped"", ""2 c. raisins"", ""1 c. brown sugar"", ""1 c. granulated sugar"", ""2 Tbsp. shortening"", ""2 c. cold water"", ""3 c. flour"", ""2 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 tsp. cloves"", ""1 tsp. salt"", ""1 c. nuts""]","[""Combine and cook first 6 ingredients."", ""Bring to boil and boil 5 minutes; cool."", ""Add sifted, dry ingredients to apple mixture. Stir and blend only."", ""Add nuts."", ""Pour into greased and floured tube pan."", ""Bake 1 hour at 350\u00b0."", ""Serves 16.""]",www.cookbooks.com/Recipe-Details.aspx?id=433749,Gathered,"[""sugar"", ""shortening"", ""nutmeg"", ""brown sugar"", ""cinnamon"", ""soda"", ""cloves"", ""raisins"", ""cold water"", ""flour"", ""nuts"", ""apples"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Potato Casserole,"[""6 c. diced potatoes"", ""1/2 c. chopped onion"", ""3/4 c. melted butter"", ""1 can cream of chicken soup"", ""1 (8 oz.) sour cream"", ""1 c. grated Cheddar cheese"", ""2 c. crushed cornflakes""]","[""Peel and dice potatoes; place in bowl of cold, salted water. Drain potatoes and dry on paper towels."", ""Mix 1/2 cup butter, onions, soup, sour cream and cheese; stir well."", ""Add potatoes to mixture and pour into a 2 1/2-quart casserole dish."", ""Crush cornflakes, mix with remaining butter."", ""Sprinkle cornflakes and butter on top of potato mixture."", ""Bake at 350\u00b0 for 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=261749,Gathered,"[""potatoes"", ""cream of chicken soup"", ""sour cream"", ""cheddar cheese"", ""onion"", ""cornflakes"", ""butter""]",www.cookbooks.com,312,10.4,36.7,8.9
Dream Pie,"[""vanilla wafers"", ""butter""]","[""Mix vanilla wafer crumbs with butter.""]",www.cookbooks.com/Recipe-Details.aspx?id=621453,Gathered,"[""vanilla wafers"", ""butter""]",www.cookbooks.com,312,10.4,36.7,8.9
Divinity Fudge,"[""2 2/3 c. sugar"", ""2/3 c. white corn syrup (Karo)"", ""2/3 c. cold water"", ""2 egg whites"", ""1 tsp. vanilla"", ""1 c. chopped nuts""]","[""Stir well together the sugar, syrup and water."", ""Allow to boil without stirring until it forms a hard ball in cold water."", ""Pour this over stiffly beaten egg whites, beating constantly."", ""Cool; add vanilla and nuts."", ""Beat until cool and thick enough to set. Pour into a buttered platter or drop by teaspoons on waxed paper.""]",www.cookbooks.com/Recipe-Details.aspx?id=875051,Gathered,"[""sugar"", ""vanilla"", ""egg whites"", ""cold water"", ""nuts"", ""white corn syrup""]",www.cookbooks.com,312,10.4,36.7,8.9
Apple Crisp,"[""apples"", ""1/2 c. sugar"", ""1 tsp. cinnamon"", ""1/4 c. sugar"", ""1 c. flour"", ""dash of salt"", ""1/2 c. corn flake crumbs"", ""1 stick oleo""]","[""Mix 1/2 cup of sugar and cinnamon."", ""Spread on apples."", ""Mix 1/4 cup sugar, flour, salt, cornflake crumbs and oleo."", ""Spread mixture on apples.""]",www.cookbooks.com/Recipe-Details.aspx?id=935714,Gathered,"[""oleo"", ""corn flake crumbs"", ""sugar"", ""cinnamon"", ""flour"", ""apples"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Sausage Balls,"[""2 c. Bisquick"", ""1 lb. sausage"", ""8 oz. pkg. Cheddar cheese, grated""]","[""Mix sausage and cheese together."", ""Add Bisquick and mix thoroughly."", ""Roll into medium size balls."", ""Bake at 350\u00b0 for 15 minutes or until golden brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=586592,Gathered,"[""bisquick"", ""cheddar cheese"", ""sausage""]",www.cookbooks.com,312,10.4,36.7,8.9
Consomme Chicken,"[""chicken parts"", ""1 can cream of chicken soup"", ""1 can consomme"", ""2 c. rice"", ""salt to taste"", ""pepper to taste""]","[""Add enough liquid to chicken soup and consomme to make 4 cups of water."", ""Season with salt and pepper."", ""Cook at 350\u00b0 for 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=1078857,Gathered,"[""cream of chicken soup"", ""pepper"", ""rice"", ""consomme"", ""chicken"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Spanish Hamburgers,"[""1/2 c. celery"", ""2 chopped onions"", ""2 Tbsp. butter"", ""1 lb. ground beef"", ""2 Tbsp. vinegar"", ""2 Tbsp. lemon juice"", ""2 Tbsp. brown sugar"", ""1 1/2 Tbsp. mustard"", ""1 tsp. salt"", ""1 1/2 tsp. pepper"", ""1 c. catsup"", ""1 c. water""]","[""Brown celery, onions and ground beef in butter."", ""Add vinegar, lemon juice, brown sugar, mustard, salt, pepper catsup and water. Simmer for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=467221,Gathered,"[""vinegar"", ""pepper"", ""lemon juice"", ""brown sugar"", ""water"", ""celery"", ""catsup"", ""onions"", ""ground beef"", ""mustard"", ""butter"", ""salt""]",www.cookbooks.com,312,10.4,36.7,8.9
Egg Drop Soup,"[""2 (13 3/4 oz.) cans chicken broth"", ""1 Tbsp. cornstarch"", ""1 well beaten egg"", ""2 Tbsp. sliced (1/4-inch) green onion""]","[""In saucepan slowly stir the chicken broth into cornstarch. Cook, stirring constantly, until slightly thickened."", ""Slowly pour in the well beaten egg; stir once gently."", ""Remove from heat. Garnish with sliced green onion."", ""Makes 4 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=801543,Gathered,"[""cornstarch"", ""egg"", ""chicken broth"", ""green onion""]",www.cookbooks.com,312,10.4,36.7,8.9
Mulled Cider,"[""1/2 gal. apple juice"", ""1 tsp. allspice"", ""1 tsp. whole cloves"", ""1 cinnamon stick"", ""1 c. brown sugar""]","[""Simmer all of the ingredients."", ""Strain into warmed mugs and top"", ""with"", ""a"", ""dash of nutmeg."", ""This recipe can be doubled many times, according to the number of guests present.""]",www.cookbooks.com/Recipe-Details.aspx?id=945627,Gathered,"[""brown sugar"", ""cinnamon"", ""apple juice"", ""whole cloves"", ""allspice""]",www.cookbooks.com,312,10.4,36.7,8.9
Sesame Ginger Chicken,"[""1 Tbsp. sesame seed, toasted"", ""2 tsp. grated ginger"", ""2 Tbsp. honey"", ""2 Tbsp. reduced-sodium soy sauce"", ""4 (4 oz.) skinned chicken breast halves"", ""vegetable cooking spray"", ""thin green onion strips""]","[""Combine first 4 ingredients in a small bowl, stir well and set aside."", ""Place chicken between 2 sheets of waxed paper or heavy duty plastic wrap, and flatten to 1/4-inch thickness, using meat mallet or rolling pin."", ""Coat grill rack with cooking spray; place on grill over coals."", ""Place chicken on rack and cook 4 minutes on each side, basting frequently with soy sauce mixture."", ""Transfer chicken to a serving platter and garnish with green onion, if desired."", ""Yields 4 servings, about 200 calories.""]",www.cookbooks.com/Recipe-Details.aspx?id=352931,Gathered,"[""sesame seed"", ""soy sauce"", ""honey"", ""vegetable cooking spray"", ""thin green onion strips"", ""grated ginger"", ""chicken""]",www.cookbooks.com,312,10.4,36.7,8.9
